,Unnamed: 0,id,name,steam appid,required age,is free,release date,review_amount,review_score,total_positive_reviews,total_negative_reviews,price,currency,discount_percent,platforms.windows,platforms.mac,platforms.linux,revenue,number_reviews
2768,2768,454630,Button Frenzy,454630,0,0,"8 Jul, 2016",7,0,6,1,0.79,EUR,0.0,1,0,0,5.74,7
2769,2769,454650,DRAGON BALL XENOVERSE 2,454650,0,0,"27 Oct, 2016",17,8,8133,1406,49.99,EUR,0.0,1,0,0,407974.67000000004,9539
2770,2770,453660,Rogue Contracts: Syndicate,453660,0,0,"26 Aug, 2016",9,0,6,3,0.99,EUR,0.0,1,0,0,8.94,9
2771,2771,453670,The Lost Souls,453670,0,0,"11 Apr, 2016",2,3,5,28,0.79,EUR,0.0,1,0,0,31.95,33
2772,2772,453690,Dark Quest 2,453690,0,0,"6 Mar, 2018",2,6,198,51,7.99,EUR,0.0,1,1,0,1633.02,249
2773,2773,453700,prog.1,453700,0,0,"23 Jun, 2016",8,0,6,2,4.99,EUR,0.0,1,1,0,31.94,8
2774,2774,453710,TableTop Soccer,453710,0,0,"22 Apr, 2016",20,7,39,9,0.99,EUR,0.0,1,1,1,47.61,48
2775,2775,453720,Last Will,453720,0,0,"29 Aug, 2016",1,6,69,27,8.99,EUR,0.0,1,1,1,647.3100000000001,96
2776,2776,453730,Borstal,453730,0,0,"22 Mar, 2016",10,4,3,7,2.99,EUR,0.0,1,1,1,15.97,10
2777,2777,453740,Spaceman Sparkles 3,453740,0,0,"21 Mar, 2016",12,7,10,2,4.99,EUR,0.0,1,0,1,51.900000000000006,12
2778,2778,453750,Tyto Ecology,453750,0,0,"14 Apr, 2016",3,6,252,76,5.69,EUR,0.0,1,1,0,1509.88,328
2779,2779,453770,Forgotten Tales: Day of the Dead,453770,0,0,"27 May, 2016",1,5,8,4,6.99,EUR,0.0,1,1,1,59.92,12
2780,2780,453780,Secrets of Magic: The Book of Spells,453780,0,0,"20 Oct, 2016",13,7,13,0,6.99,EUR,0.0,1,1,1,90.87,13
2781,2781,453790,Candice DeBébé's Incredibly Trick Lifestyle,453790,0,0,"22 Mar, 2016",1,8,95,7,3.99,EUR,0.0,1,1,1,386.05,102
2782,2782,453810,Blasting Agent: Ultimate Edition,453810,0,0,"17 Aug, 2016",16,5,9,7,2.99,EUR,0.0,1,0,0,33.910000000000004,16
2783,2783,453820,Hero Quest: Tower Conflict,453820,0,0,"13 Apr, 2016",1,3,7,40,0.79,EUR,0.0,1,1,1,45.53,47
2784,2784,453830,Innoquous 5,453830,0,0,"13 May, 2016",6,0,6,0,0.79,EUR,0.0,1,0,0,4.74,6
2785,2785,453850,Dear RED - Extended,453850,0,0,"12 Apr, 2016",2,5,24,27,2.39,EUR,0.0,1,0,0,84.36,51
2786,2786,453870,Quantum Chess,453870,0,0,"12 Dec, 2016",1,5,19,10,9.99,EUR,0.0,1,1,1,199.81,29
2787,2787,453880,Ninja Outbreak,453880,0,0,"30 Mar, 2016",3,0,2,1,1.99,EUR,80.0,1,1,0,4.98,3
2788,2788,453890,Black Rose,453890,0,1,"15 Mar, 2016",12,7,10,2,,,,1,0,0,,12
2789,2789,453910,Love is Dead,453910,0,0,"31 May, 2018",1,7,17,4,11.99,EUR,0.0,1,1,0,207.83,21
2790,2790,453950,To Ash,453950,0,0,"29 Mar, 2016",12,7,10,2,1.5,EUR,0.0,1,1,0,17.0,12
2791,2791,453960,Envy the Dead,453960,0,0,"12 Sep, 2016",20,5,34,22,0.99,EUR,0.0,1,0,0,55.66,56
2792,2792,453980,Airstrike HD,453980,0,0,"23 Mar, 2016",6,0,1,5,1.59,EUR,0.0,1,0,0,6.59,6
2793,2793,453990,Mibibli's Quest,453990,0,0,"4 Aug, 2016",20,7,41,2,4.99,EUR,0.0,1,1,0,206.59,43
2794,2794,454030,Link,454030,0,0,"22 Apr, 2016",20,5,17,10,4.99,EUR,0.0,1,0,0,94.83,27
2795,2795,454060,Blueprint Tycoon,454060,0,0,"13 May, 2016",1,8,528,131,2.99,EUR,0.0,1,1,1,1709.72,659
2796,2796,454070,Boundel: The Second Era,454070,0,1,"14 Nov, 2016",1,5,82,61,,,,1,0,0,,143
2797,2797,454080,Burst,454080,0,0,"14 Mar, 2016",11,5,5,6,,,,1,0,0,,11
2798,2798,454100,Dungeon Escape,454100,0,0,"27 May, 2016",1,5,89,39,3.99,EUR,0.0,1,1,1,394.11,128
2799,2799,454130,Nil-Ninjahtic: Ronin,454130,0,0,"16 Mar, 2016",13,5,9,4,1.99,EUR,0.0,1,0,0,21.91,13
2800,2800,454140,First Person Tennis - The Real Tennis Simulator VR,454140,0,0,"11 Apr, 2019",1,8,148,17,22.99,EUR,0.0,1,0,0,3419.52,165
2801,2801,454160,Dark Fear,454160,0,0,"22 Jun, 2016",20,8,75,3,3.99,EUR,0.0,1,0,0,302.25,78
2802,2802,453220,BrambleLash,453220,0,0,"13 Sep, 2017",7,0,5,2,8.19,EUR,0.0,1,1,0,42.949999999999996,7
2803,2803,453270,Madness Cubed,453270,0,0,"12 May, 2016",1,5,43,25,1.59,EUR,0.0,1,0,0,93.37,68
2804,2804,453290,Awareness Rooms,453290,0,0,"16 Jun, 2016",1,8,152,37,4.99,EUR,0.0,1,1,0,795.48,189
2805,2805,453300,A Healer Only Lives Twice,453300,0,0,"2 Jun, 2016",1,6,59,18,4.99,EUR,0.0,1,0,0,312.41,77
2806,2806,453310,Blackwood Crossing,453310,0,0,"4 Apr, 2017",1,6,133,35,15.99,EUR,0.0,1,0,0,2161.67,168
2807,2807,453320,Vairon's Wrath,453320,0,0,"27 May, 2016",1,0,1,0,12.99,EUR,0.0,1,0,0,12.99,1
2808,2808,453340,Hustle Cat,453340,0,0,"16 Mar, 2016",5,9,717,34,16.79,EUR,0.0,1,1,0,12072.43,751
2809,2809,453350,Vaccine War,453350,0,0,"20 Mar, 2016",8,0,2,6,7.99,EUR,0.0,1,1,1,21.98,8
2810,2810,453390,Dark Parables: The Little Mermaid and the Purple Tide Collector's Edition,453390,0,0,"21 Mar, 2016",20,7,24,3,9.99,EUR,0.0,1,0,0,242.76,27
2811,2811,453500,Frio - Lost in old town,453500,0,0,"5 Feb, 2018",17,7,15,2,2.39,EUR,0.0,1,0,0,37.85,17
2812,2812,453510,One Man Is Not No Man,453510,0,1,"18 Mar, 2016",5,0,5,0,,,,1,0,0,,5
2813,2813,453650,Marble Void,453650,0,0,"12 Apr, 2016",16,7,14,2,4.99,EUR,0.0,1,0,1,71.86,16
